game_id,game_date,home_team_id,away_team_id,home_team,away_team,home_score,away_score
2025020236,,14,15,TBL,WSH,3,2
2025020237,,3,2,NYR,NYI,0,5
2025020238,,12,7,CAR,BUF,6,3
2025020239,,19,55,STL,SEA,3,4
2025020240,,22,21,EDM,COL,1,9
2025020241,,23,29,VAN,CBJ,4,3
2025020242,,54,24,VGK,ANA,3,4
2025020243,,28,13,SJS,FLA,3,1
2025020244,,17,16,DET,CHI,1,5
2025020245,,5,26,PIT,LAK,2,3
2025020246,,10,12,TOR,CAR,4,5
2025020247,,9,68,OTT,UTA,4,2
2025020248,,25,55,DAL,SEA,2,1
2025020249,,30,20,MIN,CGY,2,0
2025020250,,23,21,VAN,COL,4,5
2025020251,,24,52,ANA,WPG,4,1
2025020252,,1,2,NJD,NYI,2,3
2025020253,,3,18,NYR,NSH,6,3
2025020254,,22,29,EDM,CBJ,5,4
2025020255,,54,13,VGK,FLA,2,3
2025020256,,6,10,BOS,TOR,5,3
2025020257,,8,26,MTL,LAK,1,5
2025020258,,9,25,OTT,DAL,2,3
2025020259,,12,15,CAR,WSH,1,4
2025020260,,19,20,STL,CGY,3,2
2025020261,,30,28,MIN,SJS,1,2
2025020262,,21,24,COL,ANA,4,1
2025020263,,23,52,VAN,WPG,3,5
2025020264,,55,29,SEA,CBJ,1,2
2025020265,,14,3,TBL,NYR,3,7
2025020266,,4,22,PHI,EDM,1,2
2025020267,,68,7,UTA,BUF,5,2
2025020268,,16,1,CHI,NJD,3,4
2025020269,,10,26,TOR,LAK,3,4
2025020270,,8,25,MTL,DAL,0,7
2025020271,,9,6,OTT,BOS,5,3
2025020272,,17,24,DET,ANA,6,3
2025020273,,13,15,FLA,WSH,6,3
2025020274,,29,22,CBJ,EDM,5,4
2025020275,,21,7,COL,BUF,6,3
2025020276,,20,28,CGY,SJS,2,0
2025020277,,54,2,VGK,NYI,3,4
2025020278,,55,52,SEA,WPG,5,3
2025020279,,12,23,CAR,VAN,4,3
2025020280,,19,4,STL,PHI,5,6
2025020281,,18,5,NSH,PIT,2,1
2025020282,,68,2,UTA,NYI,2,3
2025020283,,13,14,FLA,TBL,1,3
2025020284,,30,24,MIN,ANA,2,0
2025020285,,8,6,MTL,BOS,2,3
2025020286,,9,26,OTT,LAK,0,1
2025020287,,17,7,DET,BUF,4,5
2025020288,,15,1,WSH,NJD,2,3
2025020289,,12,22,CAR,EDM,3,4
2025020290,,29,3,CBJ,NYR,1,2
2025020291,,16,10,CHI,TOR,3,2
2025020292,,19,54,STL,VGK,1,4
2025020293,,25,4,DAL,PHI,5,1
2025020294,,20,52,CGY,WPG,3,4
